Titulo,Direção,Elenco,Nota,Link,Ano,Categoria
O Sexto Sentido,N/A,,4.6,https://www.adorocinema.com/filmes/filme-22092/,22 de outubro de 1999,N/A
Coringa,N/A,,4.2,https://www.adorocinema.com/filmes/filme-258374/,3 de outubro de 2019,N/A
Matrix,N/A,,4.6,https://www.adorocinema.com/filmes/filme-19776/,21 de maio de 1999,N/A
A Bela e a Fera,N/A,,4.8,https://www.adorocinema.com/filmes/filme-7229/,10 de julho de 1992,N/A
Tempos Modernos,N/A,,4.6,https://www.adorocinema.com/filmes/filme-1832/,1 de agosto de 2020,N/A
Wall-E,N/A,,4.6,https://www.adorocinema.com/filmes/filme-123734/,27 de junho de 2008,N/A
O Pianista,N/A,,4.6,https://www.adorocinema.com/filmes/filme-28359/,7 de março de 2003,N/A
Jurassic Park - Parque dos Dinossauros,N/A,,5.0,https://www.adorocinema.com/filmes/filme-8488/,13 de junho de 1993,N/A
A Noviça Rebelde,N/A,,4.6,https://www.adorocinema.com/filmes/filme-238/,3 de maio de 1965,N/A
Batman - O Cavaleiro das Trevas Ressurge,N/A,,4.0,https://www.adorocinema.com/filmes/filme-132874/,27 de julho de 2012,N/A
Procurando Nemo,N/A,,4.5,https://www.adorocinema.com/filmes/filme-29057/,4 de julho de 2003,N/A
